iter	Passed	Remaining
431	1618	2128
432	1622	2124
433	1625	2120
434	1629	2116
435	1632	2112
436	1636	2108
437	1640	2104
438	1643	2100
439	1647	2096
440	1651	2093
441	1654	2089
442	1658	2085
443	1663	2082
444	1668	2080
445	1671	2076
446	1675	2073
447	1679	2069
448	1682	2065
449	1686	2061
450	1690	2057
451	1693	2053
452	1697	2049
453	1701	2046
454	1705	2043
455	1709	2039
456	1713	2035
457	1717	2032
458	1721	2028
459	1724	2024
460	1728	2020
461	1731	2016
462	1735	2013
463	1739	2009
464	1742	2005
465	1746	2001
466	1750	1997
467	1753	1993
468	1757	1989
469	1760	1985
470	1764	1981
471	1768	1978
472	1771	1974
473	1775	1970
474	1779	1966
475	1783	1962
476	1786	1958
477	1790	1955
478	1794	1951
479	1797	1947
480	1801	1943
481	1805	1939
482	1808	1936
483	1812	1932
484	1816	1928
485	1820	1924
486	1823	1921
487	1827	1917
488	1830	1913
489	1834	1909
490	1838	1905
491	1842	1901
492	1845	1898
493	1849	1894
494	1853	1890
495	1857	1887
496	1861	1883
497	1864	1879
498	1868	1875
499	1872	1872
500	1875	1868
501	1879	1864
502	1883	1860
503	1886	1856
504	1890	1853
505	1894	1849
506	1897	1845
507	1901	1841
508	1905	1837
509	1908	1834
510	1912	1830
511	1916	1826
512	1919	1822
513	1923	1818
514	1927	1814
515	1930	1811
516	1934	1807
517	1939	1804
518	1943	1800
519	1946	1797
520	1951	1793
521	1954	1790
522	1958	1786
523	1962	1782
524	1966	1778
525	1969	1774
526	1973	1771
527	1976	1767
528	1980	1763
529	1984	1759
530	1987	1755
531	1991	1751
532	1995	1748
533	1998	1744
534	2002	1740
535	2006	1736
536	2010	1733
537	2013	1729
538	2017	1725
539	2020	1721
540	2024	1717
541	2027	1713
542	2031	1709
543	2035	1705
544	2038	1702
545	2042	1698
546	2046	1694
547	2049	1690
548	2053	1686
549	2056	1682
550	2060	1679
551	2064	1675
552	2067	1671
553	2071	1667
554	2075	1663
555	2078	1659
556	2082	1656
557	2085	1652
558	2089	1648
559	2093	1644
560	2096	1640
561	2100	1637
562	2104	1633
563	2107	1629
564	2111	1625
565	2115	1621
566	2119	1618
567	2123	1614
568	2127	1611
569	2130	1607
570	2134	1603
571	2137	1599
572	2141	1595
573	2145	1592
574	2148	1588
575	2152	1584
576	2156	1580
577	2159	1576
578	2163	1573
579	2167	1569
580	2172	1566
581	2175	1562
582	2179	1558
583	2183	1555
584	2186	1551
585	2190	1547
586	2194	1543
587	2197	1539
588	2201	1536
589	2205	1532
590	2209	1528
591	2212	1524
592	2216	1521
593	2219	1517
594	2223	1513
595	2227	1509
596	2230	1505
597	2234	1502
598	2238	1498
599	2241	1494
600	2245	1490
601	2249	1487
602	2253	1483
603	2256	1479
604	2260	1475
605	2263	1471
606	2267	1468
607	2271	1464
608	2274	1460
609	2278	1456
610	2281	1452
611	2285	1449
612	2289	1445
613	2293	1441
614	2296	1437
615	2300	1434
616	2304	1430
617	2307	1426
618	2311	1422
619	2314	1418
620	2318	1415
621	2322	1411
622	2326	1407
623	2329	1403
624	2333	1400
625	2337	1396
626	2340	1392
627	2344	1388
628	2348	1385
629	2352	1381
630	2356	1377
631	2359	1374
632	2363	1370
633	2367	1366
634	2370	1362
635	2374	1358
636	2378	1355
637	2381	1351
638	2385	1347
639	2389	1343
640	2392	1340
641	2396	1336
642	2400	1332
643	2403	1328
644	2407	1325
645	2412	1321
646	2416	1318
647	2420	1314
648	2423	1310
649	2427	1307
650	2430	1303
651	2434	1299
652	2438	1295
653	2441	1291
654	2445	1288
655	2449	1284
656	2452	1280
657	2456	1276
658	2460	1273
659	2463	1269
660	2467	1265
661	2471	1261
662	2475	1258
663	2479	1254
664	2483	1251
665	2487	1247
666	2491	1243
667	2494	1239
668	2498	1236
669	2502	1232
670	2505	1228
671	2509	1224
672	2513	1221
673	2516	1217
674	2520	1213
675	2523	1209
676	2527	1205
677	2531	1202
678	2534	1198
679	2538	1194
680	2542	1190
681	2545	1187
682	2549	1183
683	2553	1179
684	2556	1175
685	2560	1172
686	2564	1168
687	2567	1164
688	2571	1160
689	2575	1156
690	2578	1153
691	2582	1149
692	2585	1145
693	2589	1141
694	2593	1138
695	2596	1134
696	2600	1130
697	2604	1126
698	2607	1122
699	2611	1119
700	2615	1115
701	2618	1111
702	2622	1107
703	2625	1104
704	2629	1100
705	2633	1096
706	2636	1092
707	2640	1088
708	2643	1085
709	2647	1081
710	2651	1077
711	2654	1073
712	2658	1070
713	2662	1066
714	2665	1062
715	2669	1058
716	2673	1055
717	2676	1051
718	2680	1047
719	2684	1043
720	2687	1040
721	2691	1036
722	2695	1032
723	2698	1028
724	2702	1025
725	2706	1021
726	2709	1017
727	2713	1013
728	2716	1009
729	2720	1006
730	2723	1002
731	2727	998
732	2731	994
733	2734	991
734	2738	987
735	2741	983
736	2745	979
737	2749	975
738	2752	972
739	2756	968
740	2760	964
741	2763	960
742	2767	957
743	2770	953
744	2774	949
745	2778	945
746	2781	942
747	2785	938
748	2789	934
749	2792	930
750	2796	927
751	2800	923
752	2803	919
753	2807	915
754	2811	912
755	2814	908
756	2818	904
757	2822	900
758	2825	897
759	2829	893
760	2832	889
761	2837	886
762	2841	882
763	2844	878
764	2848	875
765	2852	871
766	2855	867
767	2859	863
768	2863	860
769	2866	856
770	2870	852
771	2874	848
772	2877	845
773	2881	841
774	2885	837
775	2888	833
776	2892	830
777	2896	826
778	2899	822
779	2903	818
780	2907	815
781	2910	811
782	2914	807
